SHAHR,Median1395,Median1396,Median1397,Median1398,Median1399,Median1400,Median1401,Median1402,Median1403
نور,0.97,0.19,-0.60,0.01,0.36,0.65,0.49,0.65,0.83
نطنز,0.36,-0.61,-0.10,-0.19,0.05,-0.00,0.32,-0.18,-0.51
صوفیان,0.17,0.63,-0.62,0.18,0.56,0.40,0.54,0.42,0.07
نجفآباد,-0.39,-0.18,-0.43,-0.47,0.16,-0.36,-0.55,-0.46,-0.62
جاجرود,-0.39,-0.51,-0.35,-0.63,-0.30,-0.40,0.45,0.49,-0.20
قائن,-0.16,0.11,-0.03,0.00,0.08,0.05,-0.64,-0.23,-0.05
کنگاور,-0.57,-0.08,0.03,0.51,-0.09,-0.18,-0.65,-0.42,0.02
تاکستان,-0.66,0.20,-0.40,-0.45,0.21,-0.28,-0.23,-0.18,0.03
سمنان,-0.28,-0.59,-0.36,-0.66,-0.21,-0.65,-0.62,-0.58,-0.56
کرمان,-0.32,-0.31,-0.45,-0.51,-0.67,-0.47,-0.28,-0.38,-0.17
یاسوج,-0.34,-0.41,-0.31,-0.29,-0.27,-0.67,-0.18,-0.48,-0.41
بیرجند,-0.42,-0.53,-0.42,-0.68,-0.67,-0.66,-0.65,-0.23,-0.30
لنگرود,-0.69,-0.61,0.63,0.47,-0.18,-0.06,0.16,-0.13,0.52
شاهرود,-0.57,-0.58,-0.53,-0.62,-0.50,-0.69,-0.29,-0.46,-0.57
ملارد,-0.20,0.25,0.38,-0.09,-0.69,-0.30,-0.58,-0.56,-0.57
اصفهان,-0.40,-0.17,-0.27,-0.28,-0.47,-0.70,-0.66,-0.65,-0.36
عباسآباد,0.23,0.41,-0.70,0.56,0.55,0.63,0.26,0.27,-0.53
بندرعباس,-0.71,-0.40,0.08,-0.00,-0.14,-0.24,-0.50,-0.35,-0.57
حمیدیه,0.54,0.18,0.13,0.32,-0.77,-0.24,0.04,-0.26,-0.36
نظرآباد,-0.05,0.52,0.19,-0.03,-0.20,-0.19,0.28,-0.20,-0.77
یزد,-0.34,-0.21,-0.31,-0.48,-0.51,-0.79,-0.61,-0.54,-0.46
بابل,-0.21,-0.03,0.28,0.05,0.01,0.12,0.71,0.45,-0.79
شهرضا,-0.53,-0.18,0.04,-0.79,0.32,0.69,0.57,0.39,0.40
ماهدشت,-0.45,-0.81,-0.54,0.19,-0.37,-0.16,-0.41,-0.02,-0.31
توره,0.16,-0.03,-0.12,-0.15,-0.37,-0.63,-0.81,-0.66,-0.81
لاهیجان,0.54,0.43,0.05,-0.21,-0.07,-0.82,0.25,0.05,-0.08
ماهان,-0.83,-0.06,-0.26,-0.23,0.08,0.38,0.22,0.27,0.33
میامی,0.10,0.22,-0.20,-0.22,-0.41,-0.28,-0.83,-0.39,-0.14
اهواز,-0.53,-0.40,-0.60,-0.84,-0.21,-0.50,-0.50,-0.51,-0.34
گنبد,-0.19,-0.88,-0.01,0.14,-0.07,-0.09,0.15,0.06,0.25
اراک,0.33,-0.06,-0.92,-0.33,-0.01,-0.10,0.09,-0.46,-0.17
پردیس,0.65,-0.92,0.75,1.10,0.81,1.19,0.90,0.06,0.84
گرگان,-0.92,-0.14,-0.19,-0.10,-0.27,-0.28,-0.14,-0.06,-0.41
چرمشهر,-0.51,0.56,0.36,0.15,0.13,-0.95,-0.71,-0.36,-0.53
بستانآباد,-0.96,-0.04,-0.24,-0.04,-0.21,0.31,0.17,0.23,0.11
قزوین,-0.59,-0.89,-0.53,-0.43,-1.00,-0.69,-0.87,-1.00,0.66
ملکان,-0.02,-0.05,-1.03,-0.59,0.58,-0.65,0.58,-0.76,0.09
کرج,-0.93,-0.97,-1.09,-1.12,-0.83,-0.76,-0.83,-0.51,-0.66
سقز,-0.58,-0.07,-0.12,-0.13,-0.23,-1.16,0.01,-0.41,-0.10
دماوند,-1.00,-0.63,-0.92,-0.93,-1.09,-1.32,-1.05,-1.14,-1.05
امامزادههاشم,-0.89,-1.25,-1.21,-1.29,-0.02,-0.81,-1.46,0.44,0.00
سرایان,1.36,1.07,1.19,1.39,0.69,1.08,0.54,-1.21,-1.69
رودهن,-1.22,-1.69,-1.52,-1.45,-1.72,-1.51,-1.67,-1.44,-1.56
منجیل,-1.37,-1.60,-1.62,-1.85,-1.76,-1.78,-1.98,-1.84,0.00
