Code-mehvar,Name-Mehvar,Ostan,origin,destination,orgin_en,destination_en,filename
153351,جاده قديم تاکستان - قزوين (تاکستان - کهک),15 Qazvin,تاکستان,قزوین,TAKSTAN,GhZVIN,Daily 153351 جاده قديم تاکستان - قزوين (تاکستان - کهک)
153404,آزادراه آبيک - چرم شهر (آبيک),15 Qazvin,آبیک,چرمشهر,ABIK,ChRMShHR,Daily 153404 آزادراه آبيک - چرم شهر (آبيک)
163103,ساري - نکا,16 Mazandaran,ساری,نکا,SARI,NKA,Daily 163103 ساري - نکا
163105,ساري - جويبار,16 Mazandaran,ساری,جویبار,SARI,JVIBAR,Daily 163105 ساري - جويبار
163155,جويبار - ساري,16 Mazandaran,جویبار,ساری,JVIBAR,SARI,Daily 163155 جويبار - ساري
163301,بابل - بابلسر,16 Mazandaran,بابل,بابلسر,BABL,BABLSR,Daily 163301 بابل - بابلسر
164104,چالوس - کرج (دوآب - مرزن آباد),16 Mazandaran,چالوس,کرج,ChALVS,KRJ,Daily 164104 چالوس - کرج (دوآب - مرزن آباد)
164452,نوشهر - نور (سي سنگان - نور),16 Mazandaran,نوشهر,نور,NVShHR,NVR,Daily 164452 نوشهر - نور (سي سنگان - نور)
164605,چالوس - کرج (هزارچم - سياه بيشه),16 Mazandaran,چالوس,کرج,ChALVS,KRJ,Daily 164605 چالوس - کرج (هزارچم - سياه بيشه)
183114,جاده قديم کرج - قزوين (کمالشهر),18 Alborz,کرج,قزوین,KRJ,GhZVIN,Daily 183114 جاده قديم کرج - قزوين (کمالشهر)
183164,جاده قديم قزوين - کرج (کمالشهر),18 Alborz,قزوین,کرج,GhZVIN,KRJ,Daily 183164 جاده قديم قزوين - کرج (کمالشهر)
183219,آزادراه تهران- کرج (همت-بعد از تونل),18 Alborz,تهران,کرج,THRAN,KRJ,Daily 183219 آزادراه تهران- کرج (همت-بعد از تونل)
183269,آزادراه كرج- تهران (همت-قبل از تونل),18 Alborz,كرج,تهران,KRJ,THRAN,Daily 183269 آزادراه كرج- تهران (همت-قبل از تونل)
184251,بوئين زهرا - اشتهارد,18 Alborz,بوئینزهرا,اشتهارد,BVIINZHRA,AShTHARD,Daily 184251 بوئين زهرا - اشتهارد
213102,اصفهان - زرين‌شهر (فولادشهر),21 Esfahan,اصفهان,زرینشهر,ASFHAN,ZRINShHR,Daily 213102 اصفهان - زرين‌شهر (فولادشهر)
213104,اصفهان - اردستان (کمشچه),21 Esfahan,اصفهان,اردستان,ASFHAN,ARDSTAN,Daily 213104 اصفهان - اردستان (کمشچه)
213105,اصفهان - علويجه,21 Esfahan,اصفهان,علویجه,ASFHAN,ALVIJH,Daily 213105 اصفهان - علويجه
213114,اصفهان - فرودگاه(قهجاورستان),21 Esfahan,اصفهان,فرودگاه,ASFHAN,FRVDGAH,Daily 213114 اصفهان - فرودگاه(قهجاورستان)
213152,زرين‌شهر - اصفهان (فولادشهر),21 Esfahan,زرینشهر,اصفهان,ZRINShHR,ASFHAN,Daily 213152 زرين‌شهر - اصفهان (فولادشهر)
213154,اردستان - اصفهان (کمشچه),21 Esfahan,اردستان,اصفهان,ARDSTAN,ASFHAN,Daily 213154 اردستان - اصفهان (کمشچه)
213155,علويجه - اصفهان,21 Esfahan,علویجه,اصفهان,ALVIJH,ASFHAN,Daily 213155 علويجه - اصفهان
213164,فرودگاه - اصفهان(قهجاورستان),21 Esfahan,فرودگاه,اصفهان,FRVDGAH,ASFHAN,Daily 213164 فرودگاه - اصفهان(قهجاورستان)
213235,نطنز - اردستان (آزادراه کنار گذر شرقي-کيلومتر54.2),21 Esfahan,نطنز,اردستان,NTNZ,ARDSTAN,Daily 213235 نطنز - اردستان (آزادراه کنار گذر شرقي-کيلومتر54.2)
213285,اردستان - نطنز (آزادراه کنار گذر شرقي - کيلومتر54.2),21 Esfahan,اردستان,نطنز,ARDSTAN,NTNZ,Daily 213285 اردستان - نطنز (آزادراه کنار گذر شرقي - کيلومتر54.2)
213402,خوانسار - گلپايگان (وانشان),21 Esfahan,خوانسار,گلپایگان,KhVANSAR,GLPAIGAN,Daily 213402 خوانسار - گلپايگان (وانشان)
213452,گلپايگان - خوانسار(وانشان),21 Esfahan,گلپایگان,خوانسار,GLPAIGAN,KhVANSAR,Daily 213452 گلپايگان - خوانسار(وانشان)
213801,ابريشم - پيربکران,21 Esfahan,ابریشم,پیربکران,ABRIShM,PIRBKRAN,Daily 213801 ابريشم - پيربکران
213851,پيربکران - ابريشم,21 Esfahan,پیربکران,ابریشم,PIRBKRAN,ABRIShM,Daily 213851 پيربکران - ابريشم
213910,دهاقان - بروجن,21 Esfahan,دهاقان,بروجن,DHAGhAN,BRVJN,Daily 213910 دهاقان - بروجن
213918,شهرضا - دهاقان(گلشن),21 Esfahan,شهرضا,دهاقان,ShHRZA,DHAGhAN,Daily 213918 شهرضا - دهاقان(گلشن)
213960,بروجن - دهاقان,21 Esfahan,بروجن,دهاقان,BRVJN,DHAGhAN,Daily 213960 بروجن - دهاقان
214202,آزادراه کاشان - قم (کاشان - مشکات),21 Esfahan,کاشان,قم,KAShAN,GhM,Daily 214202 آزادراه کاشان - قم (کاشان - مشکات)
214204,بادرود - اردستان,21 Esfahan,بادرود,اردستان,BADRVD,ARDSTAN,Daily 214204 بادرود - اردستان
214206,آزادراه نطنز - کاشان (کاشان),21 Esfahan,نطنز,کاشان,NTNZ,KAShAN,Daily 214206 آزادراه نطنز - کاشان (کاشان)
214211,کاشان - بادرود,21 Esfahan,کاشان,بادرود,KAShAN,BADRVD,Daily 214211 کاشان - بادرود
214227,کاشان - نراق,21 Esfahan,کاشان,نراق,KAShAN,NRAGh,Daily 214227 کاشان - نراق
214254,اردستان - بادرود,21 Esfahan,اردستان,بادرود,ARDSTAN,BADRVD,Daily 214254 اردستان - بادرود
214256,آزادراه کاشان - نطنز (کاشان),21 Esfahan,کاشان,نطنز,KAShAN,NTNZ,Daily 214256 آزادراه کاشان - نطنز (کاشان)
214261,بادرود - کاشان,21 Esfahan,بادرود,کاشان,BADRVD,KAShAN,Daily 214261 بادرود - کاشان
214277,نراق - کاشان,21 Esfahan,نراق,کاشان,NRAGh,KAShAN,Daily 214277 نراق - کاشان
214401,گلپايگان - خمين,21 Esfahan,گلپایگان,خمین,GLPAIGAN,KhMIN,Daily 214401 گلپايگان - خمين
214402,گلپايگان - سه‌راه موته,21 Esfahan,گلپایگان,موته,GLPAIGAN,MVTH,Daily 214402 گلپايگان - سه‌راه موته
214451,خمين - گلپايگان,21 Esfahan,خمین,گلپایگان,KhMIN,GLPAIGAN,Daily 214451 خمين - گلپايگان
214452,سه‌راه موته - گلپايگان,21 Esfahan,موته,گلپایگان,MVTH,GLPAIGAN,Daily 214452 سه‌راه موته - گلپايگان
214521,فولادشهر - ديزيچه,21 Esfahan,فولادشهر,دیزیچه,FVLADShHR,DIZIChH,Daily 214521 فولادشهر - ديزيچه
214571,ديزيچه - فولادشهر,21 Esfahan,دیزیچه,فولادشهر,DIZIChH,FVLADShHR,Daily 214571 ديزيچه - فولادشهر
214604,نائين - انارک,21 Esfahan,نائین,انارک,NAIIN,ANARK,Daily 214604 نائين - انارک
214692,سجزي - نائين (جنب توزين),21 Esfahan,سجزی,نائین,SJZI,NAIIN,Daily 214692 سجزي - نائين (جنب توزين)
214703,علويجه - گلپايگان (علويجه),21 Esfahan,علویجه,گلپایگان,ALVIJH,GLPAIGAN,Daily 214703 علويجه - گلپايگان (علويجه)
214711,دهق - گلپايگان(خنداب),21 Esfahan,دهق,گلپایگان,DHGh,GLPAIGAN,Daily 214711 دهق - گلپايگان(خنداب)
214753,گلپايگان - علويجه (علويجه),21 Esfahan,گلپایگان,علویجه,GLPAIGAN,ALVIJH,Daily 214753 گلپايگان - علويجه (علويجه)
214761,گلپايگان - دهق (خنداب),21 Esfahan,گلپایگان,دهق,GLPAIGAN,DHGh,Daily 214761 گلپايگان - دهق (خنداب)
214902,آزادراه نطنز - اصفهان (نطنز),21 Esfahan,نطنز,اصفهان,NTNZ,ASFHAN,Daily 214902 آزادراه نطنز - اصفهان (نطنز)
214903,اردستان - کاشان (موغار),21 Esfahan,اردستان,کاشان,ARDSTAN,KAShAN,Daily 214903 اردستان - کاشان (موغار)
214952,آزادراه اصفهان - نطنز (نطنز),21 Esfahan,اصفهان,نطنز,ASFHAN,NTNZ,Daily 214952 آزادراه اصفهان - نطنز (نطنز)
214953,کاشان - اردستان (موغار),21 Esfahan,کاشان,اردستان,KAShAN,ARDSTAN,Daily 214953 کاشان - اردستان (موغار)
215115,مورچه خورت - شاهين شهر(جنب WIM),21 Esfahan,مورچهخورت,شاهینشهر,MVRChHKhVRT,ShAHINShHR,Daily 215115 مورچه خورت - شاهين شهر(جنب WIM)
215165,شاهين شهر - مورچه خورت(جنب WIM),21 Esfahan,شاهینشهر,مورچهخورت,ShAHINShHR,MVRChHKhVRT,Daily 215165 شاهين شهر - مورچه خورت(جنب WIM)
215302,تيران - چادگان (سه راهي سد زاينده‌رود),21 Esfahan,تیران,چادگان,TIRAN,ChADGAN,Daily 215302 تيران - چادگان (سه راهي سد زاينده‌رود)
215303,چادگان - چلگرد(مشهد کاوه),21 Esfahan,چادگان,چلگرد,ChADGAN,ChLGRD,Daily 215303 چادگان - چلگرد(مشهد کاوه)
215352,چادگان - تيران (سه‌راهي سد زاينده‌رود),21 Esfahan,چادگان,تیران,ChADGAN,TIRAN,Daily 215352 چادگان - تيران (سه‌راهي سد زاينده‌رود)
215353,چلگرد - چادگان(مشهد کاوه),21 Esfahan,چلگرد,چادگان,ChLGRD,ChADGAN,Daily 215353 چلگرد - چادگان(مشهد کاوه)
